date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.397,1.397,1.397
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.32,0.0,0.0,0.0,1.383,6.915,3.209
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.617,0.0,1.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,5.656,0.0,0.0,0.0,4.095,13.651,7.721
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,21.0,13.234,0.0,2.0,0.141,0.0,1.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,8.0,21.0,13.422,0.0,0.0,0.0,10.743,28.201,18.024
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,38.0,30.039,0.0,3.0,0.484,0.0,1.0,0.133,0.0,0.0,0.0,0.0,0.0,0.0,21.0,38.0,30.656,0.0,0.0,0.0,27.626,49.99,40.329
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,86.0,69.648,0.0,4.0,1.211,0.0,3.0,0.289,0.0,0.0,0.0,0.0,0.0,0.0,55.0,89.0,71.148,0.0,0.0,0.0,70.519,114.112,91.224
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,185.0,157.945,0.0,7.0,2.891,0.0,3.0,0.734,0.0,0.0,0.0,0.0,0.0,0.0,131.0,188.0,161.57,0.0,0.0,0.0,162.696,233.488,200.663
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,406.0,353.594,1.0,13.0,6.523,0.0,6.0,1.633,0.0,1.0,0.008,0.0,0.0,0.0,307.0,413.0,361.758,0.001,0.001,0.001,366.612,493.195,432.003
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,876.0,776.102,6.0,26.0,15.484,0.0,10.0,3.836,0.0,1.0,0.047,0.0,0.0,0.0,687.0,896.0,795.469,0.001,0.002,0.002,782.018,1019.925,905.489
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1452.0,1882.0,1655.922,20.0,49.0,35.344,3.0,18.0,9.281,0.0,1.0,0.102,0.0,0.0,0.0,1497.0,1922.0,1700.648,0.003,0.004,0.004,1608.11,2064.654,1826.874
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3082.0,3847.0,3427.297,60.0,102.0,80.398,8.0,35.0,20.906,0.0,2.0,0.305,0.0,0.0,0.0,3178.0,3953.0,3528.906,0.007,0.008,0.008,3185.301,3962.081,3537.013
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6162.0,7618.0,6835.828,140.0,217.0,178.883,30.0,63.0,45.539,0.0,3.0,0.789,0.0,0.0,0.0,6376.0,7874.0,7061.039,0.014,0.017,0.015,5888.45,7271.903,6521.107
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11821.0,14568.0,13085.867,320.0,451.0,387.742,73.0,123.0,98.031,0.0,5.0,1.805,0.0,0.0,0.0,12255.0,15104.0,13573.445,0.026,0.032,0.029,10288.863,12680.783,11395.783
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21604.0,26752.0,23936.766,704.0,936.0,819.086,166.0,248.0,207.602,0.0,10.0,4.508,0.0,0.0,0.0,22515.0,27884.0,24967.961,0.048,0.059,0.053,16944.089,20984.631,18790.111
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37578.0,46313.0,41653.281,1484.0,1878.0,1670.742,336.0,495.0,422.922,4.0,18.0,10.344,0.0,0.0,0.0,39454.0,48546.0,43757.289,0.084,0.103,0.093,26239.535,32286.32,29101.508
2020-03-02,0.0,0.0,0.0,1.0,0.008,0.0,1.0,0.008,61838.0,76031.0,68713.898,2943.0,3696.0,3294.945,684.0,982.0,832.492,14.0,35.0,24.148,0.0,1.0,0.016,65563.0,80638.0,72865.5,0.139,0.171,0.155,38002.682,46740.696,42235.466
2020-03-03,0.0,0.0,0.0,1.0,0.031,0.0,1.0,0.039,96521.0,118590.0,107196.008,5648.0,7055.0,6264.164,1391.0,1805.0,1584.758,37.0,72.0,53.812,0.0,1.0,0.039,103694.0,127374.0,115098.781,0.221,0.271,0.245,51703.787,63511.082,57390.406
2020-03-04,1.0,1.0,0.0,1.0,0.062,0.0,1.0,0.102,142014.0,174512.0,158048.953,10285.0,12745.0,11417.617,2576.0,3250.0,2892.953,92.0,145.0,117.977,0.0,2.0,0.109,155079.0,190605.0,172477.609,0.33,0.405,0.367,65734.592,80793.286,73109.436
2020-03-05,3.0,2.0,0.0,1.0,0.141,0.0,2.0,0.242,197877.0,243596.0,220418.734,17934.0,22195.0,19883.375,4510.0,5648.0,5042.766,215.0,314.0,256.086,0.0,2.0,0.242,220700.0,271634.0,245601.203,0.469,0.578,0.522,78715.412,96881.66,87596.651
2020-03-06,5.0,2.0,0.0,2.0,0.328,0.0,3.0,0.57,261666.0,322238.0,291064.656,29805.0,36784.0,33111.711,7505.0,9389.0,8400.305,461.0,616.0,534.727,0.0,2.0,0.406,299667.0,368724.0,333111.805,0.637,0.784,0.708,89176.63,109726.712,99129.206
2020-03-07,8.0,3.0,0.0,4.0,0.562,0.0,5.0,1.133,328736.0,404770.0,365196.102,47365.0,58196.0,52593.234,12049.0,14948.0,13400.742,954.0,1247.0,1091.141,0.0,3.0,0.875,389344.0,478692.0,432282.094,0.828,1.018,0.919,96051.381,118093.336,106644.017
2020-03-08,17.0,9.0,0.0,5.0,1.383,0.0,8.0,2.516,392977.0,484551.0,436652.078,71716.0,88048.0,79732.547,18414.0,22694.0,20427.547,1876.0,2417.0,2144.953,0.0,6.0,2.086,485081.0,597387.0,538959.211,1.032,1.27,1.146,98775.464,121644.313,109746.762
2020-03-09,28.0,11.0,0.0,7.0,2.305,1.0,10.0,4.82,449113.0,554254.0,499432.859,103911.0,127719.0,115394.398,26798.0,33079.0,29789.789,3635.0,4544.0,4059.289,1.0,12.0,4.992,583532.0,719183.0,648681.328,1.241,1.529,1.379,97858.876,120608.119,108784.948
2020-03-10,35.0,7.0,0.0,10.0,4.336,2.0,16.0,9.156,493370.0,608884.0,548722.453,143761.0,177041.0,159663.008,37343.0,46081.0,41618.117,6620.0,8249.0,7411.508,5.0,20.0,12.172,681237.0,840001.0,757427.258,1.449,1.786,1.611,94081.662,116007.879,104604.015
2020-03-11,48.0,13.0,1.0,16.0,7.203,7.0,29.0,16.359,522483.0,645259.0,581571.406,190381.0,234342.0,211575.992,50345.0,61873.0,55845.461,11571.0,14475.0,13001.102,18.0,43.0,27.727,774954.0,955443.0,862021.688,1.648,2.032,1.833,88319.192,108888.964,98242.045
2020-03-12,86.0,38.0,3.0,24.0,12.578,15.0,45.0,28.938,535862.0,662781.0,597013.305,242202.0,297852.0,269110.016,64895.0,79559.0,72138.562,19601.0,24259.0,21883.219,41.0,83.0,59.68,862798.0,1064403.0,960204.781,1.835,2.263,2.042,81486.813,100526.433,90686.209
2020-03-13,123.0,37.0,9.0,33.0,19.227,31.0,67.0,48.164,534471.0,661172.0,596194.852,296644.0,364575.0,329235.891,80958.0,99433.0,89954.305,31963.0,39404.0,35355.18,93.0,156.0,126.469,944172.0,1164731.0,1050866.695,2.008,2.477,2.235,74362.758,91733.236,82765.864
2020-03-14,141.0,18.0,15.0,45.0,29.555,58.0,103.0,77.719,521033.0,643971.0,581489.078,350192.0,430630.0,388343.617,97621.0,120235.0,108650.391,49494.0,60910.0,54839.539,214.0,319.0,261.922,1018592.0,1256035.0,1133584.547,2.166,2.671,2.411,67454.198,83179.821,75070.574
