date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.012,1.012,1.012
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.167,0.0,0.0,0.0,1.011,5.056,2.191
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,4.196,0.0,1.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,4.225,0.0,0.0,0.0,1.01,7.072,4.269
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,8.108,0.0,2.0,0.137,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,8.265,0.0,0.0,0.0,5.044,12.105,8.337
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,16.333,0.0,2.0,0.363,0.0,1.0,0.098,0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,16.794,0.0,0.0,0.0,9.056,23.142,16.898
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,42.0,31.941,0.0,3.0,0.824,0.0,2.0,0.206,0.0,0.0,0.0,0.0,0.0,0.0,24.0,42.0,32.971,0.0,0.0,0.0,24.044,42.078,33.031
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,83.0,62.412,0.0,5.0,1.882,0.0,2.0,0.422,0.0,0.0,0.0,0.0,0.0,0.0,50.0,85.0,64.716,0.0,0.0,0.0,49.734,84.548,64.371
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,148.0,122.51,1.0,9.0,4.069,0.0,3.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,100.0,152.0,127.569,0.001,0.001,0.001,98.29,149.401,125.387
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,289.0,242.961,3.0,16.0,8.382,0.0,5.0,2.0,0.0,1.0,0.01,0.0,0.0,0.0,198.0,300.0,253.353,0.001,0.002,0.001,190.832,289.14,244.181
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,559.0,476.843,7.0,24.0,16.02,0.0,9.0,3.863,0.0,1.0,0.098,0.0,0.0,0.0,412.0,583.0,496.824,0.002,0.003,0.003,384.596,544.221,463.777
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767.0,1056.0,921.902,16.0,41.0,30.882,3.0,14.0,7.873,0.0,2.0,0.265,0.0,0.0,0.0,800.0,1095.0,960.922,0.005,0.006,0.006,709.563,971.214,852.293
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1469.0,1985.0,1736.892,41.0,80.0,61.471,9.0,26.0,15.892,0.0,3.0,0.51,0.0,0.0,0.0,1534.0,2056.0,1814.765,0.009,0.012,0.011,1256.48,1684.043,1486.45
