date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.092,1.092,1.092
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.145,0.0,0.0,0.0,1.066,5.33,2.287
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.323,0.0,1.0,0.016,0.0,1.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.355,0.0,0.0,0.0,2.073,9.329,4.514
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,8.508,0.0,1.0,0.113,0.0,1.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,8.653,0.0,0.0,0.0,4.013,13.042,8.681
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,27.0,17.008,0.0,2.0,0.298,0.0,2.0,0.121,0.0,0.0,0.0,0.0,0.0,0.0,11.0,27.0,17.427,0.0,0.001,0.0,10.622,26.073,16.829
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,50.0,33.234,0.0,4.0,0.766,0.0,2.0,0.274,0.0,0.0,0.0,0.0,0.0,0.0,24.0,50.0,34.274,0.0,0.001,0.001,22.174,46.195,31.666
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,83.0,64.145,0.0,7.0,2.056,0.0,3.0,0.581,0.0,0.0,0.0,0.0,0.0,0.0,50.0,85.0,66.782,0.001,0.002,0.001,43.904,74.638,58.641
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,150.0,120.153,1.0,10.0,4.347,0.0,4.0,1.226,0.0,0.0,0.0,0.0,0.0,0.0,101.0,159.0,125.726,0.002,0.003,0.003,83.681,131.735,104.167
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,262.0,219.282,2.0,17.0,8.395,0.0,7.0,2.161,0.0,1.0,0.016,0.0,0.0,0.0,180.0,278.0,229.855,0.004,0.006,0.005,139.631,215.652,178.304
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,462.0,388.702,5.0,28.0,16.298,1.0,8.0,4.056,0.0,1.0,0.065,0.0,0.0,0.0,315.0,488.0,409.121,0.006,0.01,0.008,226.927,351.556,294.731
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0,776.0,664.685,18.0,44.0,31.355,2.0,16.0,7.879,0.0,2.0,0.185,0.0,0.0,0.0,571.0,830.0,704.105,0.011,0.017,0.014,378.813,550.638,467.117
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892.0,1255.0,1094.032,37.0,82.0,58.621,7.0,28.0,14.863,0.0,2.0,0.54,0.0,0.0,0.0,953.0,1339.0,1168.056,0.019,0.027,0.023,577.292,811.116,707.565
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1446.0,2001.0,1742.355,85.0,136.0,106.815,16.0,44.0,27.742,0.0,4.0,1.242,0.0,0.0,0.0,1560.0,2151.0,1878.153,0.031,0.043,0.038,855.598,1179.738,1030.093
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2244.0,3038.0,2669.266,150.0,225.0,188.419,31.0,69.0,48.54,0.0,6.0,2.661,0.0,0.0,0.0,2444.0,3296.0,2908.887,0.049,0.066,0.058,1203.714,1623.339,1432.679
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3273.0,4414.0,3931.677,266.0,379.0,322.129,57.0,109.0,82.742,1.0,12.0,5.637,0.0,0.0,0.0,3627.0,4892.0,4342.185,0.072,0.098,0.087,1591.695,2146.836,1905.552
2020-03-02,0.0,0.0,0.0,1.0,0.008,0.0,1.0,0.008,4697.0,6274.0,5554.492,443.0,636.0,538.331,101.0,176.0,138.081,4.0,20.0,11.0,0.0,1.0,0.016,5291.0,7051.0,6241.919,0.106,0.141,0.125,2054.001,2737.245,2423.148
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008,6450.0,8560.0,7555.54,724.0,1011.0,864.331,165.0,270.0,222.258,10.0,30.0,20.758,0.0,1.0,0.024,7377.0,9839.0,8662.911,0.147,0.197,0.173,2516.855,3356.83,2955.569
2020-03-04,1.0,1.0,0.0,1.0,0.032,0.0,1.0,0.04,8486.0,11199.0,9890.411,1129.0,1574.0,1346.831,268.0,409.0,346.79,24.0,56.0,39.331,0.0,1.0,0.056,9952.0,13182.0,11623.419,0.199,0.263,0.232,2967.019,3929.989,3465.308
2020-03-05,1.0,0.0,0.0,1.0,0.04,0.0,1.0,0.081,10693.0,14203.0,12457.282,1719.0,2317.0,2028.677,429.0,611.0,524.887,46.0,98.0,70.702,0.0,1.0,0.137,12932.0,17192.0,15081.685,0.258,0.344,0.301,3352.816,4457.286,3910.119
2020-03-06,1.0,0.0,0.0,1.0,0.081,0.0,2.0,0.161,13030.0,17150.0,15146.008,2493.0,3397.0,2946.105,642.0,915.0,769.177,98.0,153.0,125.613,0.0,2.0,0.282,16298.0,21605.0,18987.185,0.326,0.432,0.379,3660.379,4852.282,4264.282
2020-03-07,1.0,0.0,0.0,1.0,0.065,0.0,2.0,0.226,15364.0,20193.0,17811.363,3527.0,4743.0,4137.185,929.0,1257.0,1087.169,175.0,263.0,214.508,0.0,3.0,0.605,20000.0,26456.0,23250.831,0.4,0.529,0.465,3879.812,5132.216,4510.326
2020-03-08,1.0,0.0,0.0,3.0,0.169,0.0,4.0,0.395,17480.0,23124.0,20296.25,4786.0,6368.0,5615.774,1259.0,1746.0,1487.194,296.0,426.0,361.194,0.0,5.0,1.403,23836.0,31664.0,27761.815,0.476,0.633,0.555,3986.242,5295.59,4642.741
2020-03-09,1.0,0.0,0.0,2.0,0.347,0.0,4.0,0.742,19365.0,25499.0,22458.718,6326.0,8339.0,7378.581,1705.0,2356.0,1974.597,482.0,678.0,587.742,0.0,7.0,2.79,27885.0,36873.0,32402.427,0.557,0.737,0.648,4016.632,5311.715,4667.435
