date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.562,1.562,1.562
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.627,0.0,0.0,0.0,1.562,6.247,4.103
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,6.701,0.0,1.0,0.015,0.0,1.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,6.731,0.0,0.0,0.0,4.682,15.608,10.506
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,25.0,17.045,0.0,1.0,0.104,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,11.0,25.0,17.179,0.0,0.001,0.001,17.145,38.966,26.776
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,57.0,43.112,0.0,2.0,0.425,0.0,1.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,33.0,57.0,43.612,0.001,0.002,0.002,51.285,88.583,67.777
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,135.0,109.59,0.0,5.0,1.433,0.0,2.0,0.336,0.0,0.0,0.0,0.0,0.0,0.0,89.0,136.0,111.358,0.004,0.006,0.005,137.462,210.054,171.995
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,327.0,278.881,0.0,8.0,3.672,0.0,5.0,0.888,0.0,0.0,0.0,0.0,0.0,0.0,234.0,335.0,283.44,0.01,0.014,0.012,356.783,510.779,432.165
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,814.0,704.851,1.0,16.0,9.276,0.0,8.0,2.321,0.0,1.0,0.007,0.0,0.0,0.0,619.0,824.0,716.455,0.026,0.034,0.03,918.938,1223.271,1063.615
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1517.0,1972.0,1746.851,12.0,34.0,23.903,1.0,13.0,5.679,0.0,1.0,0.03,0.0,0.0,0.0,1543.0,2015.0,1776.463,0.064,0.084,0.074,2170.136,2833.976,2498.487
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3655.0,4747.0,4193.993,39.0,82.0,60.455,7.0,28.0,14.806,0.0,1.0,0.112,0.0,0.0,0.0,3735.0,4844.0,4269.366,0.156,0.202,0.178,4729.065,6133.224,5405.652
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8315.0,10738.0,9492.082,120.0,191.0,152.052,23.0,56.0,38.187,0.0,3.0,0.358,0.0,0.0,0.0,8485.0,10931.0,9682.679,0.354,0.456,0.404,8882.529,11443.127,10136.321
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17030.0,21786.0,19343.545,321.0,445.0,378.336,70.0,122.0,95.448,0.0,4.0,1.015,0.0,0.0,0.0,17463.0,22301.0,19818.343,0.728,0.929,0.826,13425.5,17144.939,15236.28
